Film,Year,IMDB LINK,Location Display Text,Image File Name,Agency Credit,Artist Credit,Director/Filmmaker Name,Director/Filmmaker IMDB Link
Godspell,1973,http://www.imdb.com/title/tt0070121/,Lincoln Center Upper West Side Manhattan,Godspell7_pf,Courtesy of Photofest,Directed by,David Greene,http://imdb.com/name/nm0338719/
Godspell,1973,http://www.imdb.com/title/tt0070121/,Lincoln Center Plaza Upper West Side Manhattan,Godspell8_pf,Courtesy of Photofest,Directed by,David Greene,http://imdb.com/name/nm0338719/
Godspell,1973,http://www.imdb.com/title/tt0070121/,Bethesda Fountain Central Park Manhattan,Godspell2_pf,Courtesy of Photofest,Directed by,David Greene,http://imdb.com/name/nm0338719/
Godspell,1973,http://www.imdb.com/title/tt0070121/,Ramble Central Park Manhattan,Godspell6_pf,Courtesy of Photofest,Directed by,David Greene,http://imdb.com/name/nm0338719/
Godspell,1973,http://www.imdb.com/title/tt0070121/,Under Triboro Bridge Randalls Island,Godspell1_pf,Courtesy of Photofest,Directed by,David Greene,http://imdb.com/name/nm0338719/
Godspell,1973,http://www.imdb.com/title/tt0070121/,Soldiers and Sailor's Monument Riverside Park (at 89th St.) Manhattan,Godspell5_pf,Courtesy of Photofest,Directed by,David Greene,http://imdb.com/name/nm0338719/
Godzilla,1988,http://www.imdb.com/title/tt0120685/,Madison Square Garden Midtown Manhattan,Godzilla_ec,"Courtesy of Everett Collection, Inc.",Directed by,Roland Emmerich,http://imdb.com/name/nm0000386/
Goodfellas,1990,http://imdb.com/title/tt0099685/,24-13 32nd St. Astoria Queens,Goodfellas_pf,Courtesy of Photofest,Directed by,Martin Scorsese,http://imdb.com/name/nm0000217/
Green Card,1990,http://www.imdb.com/title/tt0099699/,W. 76th St & Columbus Upper West Side Manhattan,Greencard_pf,Courtesy of Photofest,Directed by,Peter Weir,http://imdb.com/name/nm0001837/
Greetings,1968,http://www.imdb.com/title/tt0063036/,39 Whitehall St. Lower Manhattan,Greetings_pf,Courtesy of Photofest,Directed by,Brian De Palma,http://imdb.com/name/nm0000361/
Hair,1979,http://www.imdb.com/title/tt0079261/,Sheep's Meadow Central Park Manhattan,Hair_pf,Courtesy of Photofest,Directed by,Milos Forman,http://imdb.com/name/nm0001232/
Hannah and Her Sisters,1986,http://www.imdb.com/title/tt0091167/,Spring St. and Green St. SoHo Manhattan,,,Directed by,Woody Allen,http://www.imdb.com/name/nm0000095/
Hannah and Her Sisters,1986,http://www.imdb.com/title/tt0091167/,W. 95th St. and West End Ave. Upper West Side Manhattan,,,Directed by,Woody Allen,http://www.imdb.com/name/nm0000095/
Hannah and Her Sisters,1986,http://www.imdb.com/title/tt0091167/,Metro Theatre (2626 Broadway) Upper West Side Manhattan,,,Directed by,Woody Allen,http://www.imdb.com/name/nm0000095/
Heights,2005,http://imdb.com/title/tt0382073/,Municipal Building 1 Centre St. Lower Manhattan,Heights_ec,"Courtesy of Everett Collection, Inc.",Directed by,Chris Terrio,http://imdb.com/name/nm0006516/
Hitch,2005,http://www.imdb.com/title/tt0386588/,Spring St. and Greene St. SoHo Manhattan,,,Directed by,Andy Tennant,http://imdb.com/name/nm0855035/
Hudson Hawk,1991,http://www.imdb.com/title/tt0102070/,Brooklyn Bridge,HudsonHawk_pf,Courtesy of Photofest,Directed by,Michael Lehmann,http://imdb.com/name/nm0499724/
I Like It Like That,1994,http://www.imdb.com/title/tt0110091/,170th St. in Morrisania The Bronx,ILikeitLikeThat_pf,Courtesy of Photofest,Directed by,Darnell Martin,http://imdb.com/name/nm0552140/
I Shot Andy Warhol,1996,http://www.imdb.com/title/tt0116594/,W. 20th St.  Chelsea Manhattan,IShotAndyWarhol_pf,Courtesy of Photofest,Directed by,Mary Harron,http://www.imdb.com/name/nm0366004/
Inside Man,2006,http://imdb.com/title/tt0454848/,William St. and Wall St. Lower Manhattan,,,Directed by,Spike Lee,http://www.imdb.com/name/nm0000490/
It Could Happen to You,1994,http://www.imdb.com/title/tt0110167/,W. Broadway and N. Moore St. TriBeCa Manhattan,ItCouldHappentoYou2_ec,"Courtesy of Everett Collection, Inc.",Directed by,Andrew Bergman,http://imdb.com/name/nm0000921/
Jeremy,1973,http://www.imdb.com/title/tt0070238/,Central Park Manhattan,Jeremy_ec,"Courtesy of Everett Collection, Inc.",Directed by,Arthur Barron,http://imdb.com/name/nm0057634/
